Skill,Ubicacion_anterior,Ubicacion_final,Estado,Motivo
migration-architect,.claude/skills/migration-architect,.claude/skill-library-archive/unreviewed/migration-architect,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
minerstat-automation,.claude/skills/minerstat-automation,.claude/skill-library-archive/integrations/minerstat-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
minimalist,.claude/skills/minimalist,.claude/skill-library-archive/unreviewed/minimalist,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
missive-automation,.claude/skills/missive-automation,.claude/skill-library-archive/integrations/missive-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mistral-ai-automation,.claude/skills/mistral-ai-automation,.claude/skill-library-archive/integrations/mistral-ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mistral_ai-automation,.claude/skills/mistral_ai-automation,.claude/skill-library-archive/integrations/mistral_ai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ml-pipeline-workflow,.claude/skills/ml-pipeline-workflow,.claude/skill-library-archive/integrations/ml-pipeline-workflow,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mobile-android-design,.claude/skills/mobile-android-design,.claude/skill-library-archive/integrations/mobile-android-design,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mobile-development,.claude/skills/mobile-development,.claude/skill-library-archive/integrations/mobile-development,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mobile-ios-design,.claude/skills/mobile-ios-design,.claude/skill-library-archive/integrations/mobile-ios-design,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mocean-automation,.claude/skills/mocean-automation,.claude/skill-library-archive/integrations/mocean-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
moco-automation,.claude/skills/moco-automation,.claude/skill-library-archive/integrations/moco-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
modal,.claude/skills/modal,.claude/skill-library-archive/integrations/modal,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
modelry-automation,.claude/skills/modelry-automation,.claude/skill-library-archive/integrations/modelry-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
modern-javascript-patterns,.claude/skills/modern-javascript-patterns,.claude/skill-library-archive/integrations/modern-javascript-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
molecular-dynamics,.claude/skills/molecular-dynamics,.claude/skill-library-archive/integrations/molecular-dynamics,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
molfeat,.claude/skills/molfeat,.claude/skill-library-archive/integrations/molfeat,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
moneybird-automation,.claude/skills/moneybird-automation,.claude/skill-library-archive/integrations/moneybird-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
monitoring-observability,.claude/skills/monitoring-observability,.claude/skills/00-core/monitoring-observability,activa,Cumple criterios MVP Trading y reduce ruido contextual.
monorepo-management,.claude/skills/monorepo-management,.claude/skill-library-archive/integrations/monorepo-management,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
monorepo-navigator,.claude/skills/monorepo-navigator,.claude/skill-library-archive/unreviewed/monorepo-navigator,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
moonclerk-automation,.claude/skills/moonclerk-automation,.claude/skill-library-archive/integrations/moonclerk-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
moosend-automation,.claude/skills/moosend-automation,.claude/skill-library-archive/integrations/moosend-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mopinion-automation,.claude/skills/mopinion-automation,.claude/skill-library-archive/integrations/mopinion-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
more-trees-automation,.claude/skills/more-trees-automation,.claude/skill-library-archive/integrations/more-trees-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
moxie-automation,.claude/skills/moxie-automation,.claude/skill-library-archive/integrations/moxie-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
moz-automation,.claude/skills/moz-automation,.claude/skill-library-archive/integrations/moz-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ms365-tenant-manager,.claude/skills/ms365-tenant-manager,.claude/skill-library-archive/unreviewed/ms365-tenant-manager,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
msg91-automation,.claude/skills/msg91-automation,.claude/skill-library-archive/integrations/msg91-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mtls-configuration,.claude/skills/mtls-configuration,.claude/skill-library-archive/integrations/mtls-configuration,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
multi-cloud-architecture,.claude/skills/multi-cloud-architecture,.claude/skill-library-archive/integrations/multi-cloud-architecture,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
multi-file-exfiltration,.claude/skills/multi-file-exfiltration,.claude/skill-library-archive/integrations/multi-file-exfiltration,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
multi-reviewer-patterns,.claude/skills/multi-reviewer-patterns,.claude/skill-library-archive/integrations/multi-reviewer-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mural-automation,.claude/skills/mural-automation,.claude/skill-library-archive/integrations/mural-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mx-technologies-automation,.claude/skills/mx-technologies-automation,.claude/skill-library-archive/integrations/mx-technologies-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
mx-toolbox-automation,.claude/skills/mx-toolbox-automation,.claude/skill-library-archive/integrations/mx-toolbox-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
named-persona-adversarial-review,.claude/skills/named-persona-adversarial-review,.claude/skill-library-archive/unreviewed/named-persona-adversarial-review,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
nango-automation,.claude/skills/nango-automation,.claude/skill-library-archive/integrations/nango-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nano-nets-automation,.claude/skills/nano-nets-automation,.claude/skill-library-archive/integrations/nano-nets-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nasa-automation,.claude/skills/nasa-automation,.claude/skill-library-archive/integrations/nasa-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nasdaq-automation,.claude/skills/nasdaq-automation,.claude/skill-library-archive/integrations/nasdaq-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ncats-arax,.claude/skills/ncats-arax,.claude/skill-library-archive/integrations/ncats-arax,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ncscale-automation,.claude/skills/ncscale-automation,.claude/skill-library-archive/integrations/ncscale-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
needle-automation,.claude/skills/needle-automation,.claude/skill-library-archive/integrations/needle-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
neon-automation,.claude/skills/neon-automation,.claude/skill-library-archive/integrations/neon-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
netsuite-automation,.claude/skills/netsuite-automation,.claude/skill-library-archive/integrations/netsuite-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
networkx,.claude/skills/networkx,.claude/skill-library-archive/integrations/networkx,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
neurokit2,.claude/skills/neurokit2,.claude/skill-library-archive/integrations/neurokit2,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
neuronwriter-automation,.claude/skills/neuronwriter-automation,.claude/skill-library-archive/content/neuronwriter-automation,archivada,Skill enfocada en creación de contenido no crítica para el núcleo del Trading MVP.
neuropixels-analysis,.claude/skills/neuropixels-analysis,.claude/skill-library-archive/integrations/neuropixels-analysis,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
neutrino-automation,.claude/skills/neutrino-automation,.claude/skill-library-archive/integrations/neutrino-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
neverbounce-automation,.claude/skills/neverbounce-automation,.claude/skill-library-archive/integrations/neverbounce-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
new-relic-automation,.claude/skills/new-relic-automation,.claude/skill-library-archive/integrations/new-relic-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
new_relic-automation,.claude/skills/new_relic-automation,.claude/skill-library-archive/integrations/new_relic-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
news-api-automation,.claude/skills/news-api-automation,.claude/skill-library-archive/integrations/news-api-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nextdns-automation,.claude/skills/nextdns-automation,.claude/skill-library-archive/integrations/nextdns-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nextflow,.claude/skills/nextflow,.claude/skill-library-archive/integrations/nextflow,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nextjs-app-router-patterns,.claude/skills/nextjs-app-router-patterns,.claude/skill-library-archive/integrations/nextjs-app-router-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nextjs-mastery,.claude/skills/nextjs-mastery,.claude/skill-library-archive/integrations/nextjs-mastery,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nft-standards,.claude/skills/nft-standards,.claude/skill-library-archive/integrations/nft-standards,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ngrok-automation,.claude/skills/ngrok-automation,.claude/skill-library-archive/integrations/ngrok-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ninox-automation,.claude/skills/ninox-automation,.claude/skill-library-archive/integrations/ninox-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nocrm-io-automation,.claude/skills/nocrm-io-automation,.claude/skill-library-archive/marketing/nocrm-io-automation,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
nodejs-backend-patterns,.claude/skills/nodejs-backend-patterns,.claude/skill-library-archive/integrations/nodejs-backend-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
notebooklm,.claude/skills/notebooklm,.claude/skill-library-archive/unreviewed/notebooklm,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
notfair-upgrade-skill,.claude/skills/notfair-upgrade-skill,.claude/skill-library-archive/integrations/notfair-upgrade-skill,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
npm-automation,.claude/skills/npm-automation,.claude/skill-library-archive/integrations/npm-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
nx-workspace-patterns,.claude/skills/nx-workspace-patterns,.claude/skill-library-archive/integrations/nx-workspace-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
observability-designer,.claude/skills/observability-designer,.claude/skill-library-archive/unreviewed/observability-designer,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
ocr-web-service-automation,.claude/skills/ocr-web-service-automation,.claude/skill-library-archive/integrations/ocr-web-service-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ocrspace-automation,.claude/skills/ocrspace-automation,.claude/skill-library-archive/integrations/ocrspace-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
office-hours,.claude/skills/office-hours,.claude/skill-library-archive/unreviewed/office-hours,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
okr,.claude/skills/okr,.claude/skill-library-archive/unreviewed/okr,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
omero-integration,.claude/skills/omero-integration,.claude/skill-library-archive/integrations/omero-integration,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
omnisend-automation,.claude/skills/omnisend-automation,.claude/skill-library-archive/integrations/omnisend-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
on-call-handoff-patterns,.claude/skills/on-call-handoff-patterns,.claude/skill-library-archive/integrations/on-call-handoff-patterns,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
onboard,.claude/skills/onboard,.claude/skill-library-archive/unreviewed/onboard,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
onboarding-cro,.claude/skills/onboarding-cro,.claude/skill-library-archive/unreviewed/onboarding-cro,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
oncehub-automation,.claude/skills/oncehub-automation,.claude/skill-library-archive/integrations/oncehub-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
onedesk-automation,.claude/skills/onedesk-automation,.claude/skill-library-archive/integrations/onedesk-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
onekgpd,.claude/skills/onekgpd,.claude/skill-library-archive/integrations/onekgpd,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
onepage-automation,.claude/skills/onepage-automation,.claude/skill-library-archive/integrations/onepage-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
onesignal-rest-api-automation,.claude/skills/onesignal-rest-api-automation,.claude/skill-library-archive/integrations/onesignal-rest-api-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
onesignal-user-auth-automation,.claude/skills/onesignal-user-auth-automation,.claude/skill-library-archive/integrations/onesignal-user-auth-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
onesignal_rest_api-automation,.claude/skills/onesignal_rest_api-automation,.claude/skill-library-archive/integrations/onesignal_rest_api-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
ontology-term-resolution,.claude/skills/ontology-term-resolution,.claude/skill-library-archive/integrations/ontology-term-resolution,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
open-notebook,.claude/skills/open-notebook,.claude/skill-library-archive/integrations/open-notebook,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
open-sea-automation,.claude/skills/open-sea-automation,.claude/skill-library-archive/integrations/open-sea-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
openai-automation,.claude/skills/openai-automation,.claude/skill-library-archive/integrations/openai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
openapi-spec-generation,.claude/skills/openapi-spec-generation,.claude/skill-library-archive/integrations/openapi-spec-generation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
opencage-automation,.claude/skills/opencage-automation,.claude/skill-library-archive/integrations/opencage-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
opengraph-io-automation,.claude/skills/opengraph-io-automation,.claude/skill-library-archive/integrations/opengraph-io-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
openperplex-automation,.claude/skills/openperplex-automation,.claude/skill-library-archive/integrations/openperplex-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
openpiv,.claude/skills/openpiv,.claude/skill-library-archive/integrations/openpiv,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
openrouter-automation,.claude/skills/openrouter-automation,.claude/skill-library-archive/integrations/openrouter-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
opentrons-integration,.claude/skills/opentrons-integration,.claude/skill-library-archive/integrations/opentrons-integration,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
openweather-api-automation,.claude/skills/openweather-api-automation,.claude/skill-library-archive/integrations/openweather-api-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
operator-audit,.claude/skills/operator-audit,.claude/skill-library-archive/unreviewed/operator-audit,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
optimize-for-gpu,.claude/skills/optimize-for-gpu,.claude/skill-library-archive/integrations/optimize-for-gpu,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
optimoroute-automation,.claude/skills/optimoroute-automation,.claude/skill-library-archive/integrations/optimoroute-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
org-health-diagnostic,.claude/skills/org-health-diagnostic,.claude/skill-library-archive/unreviewed/org-health-diagnostic,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
owl-protocol-automation,.claude/skills/owl-protocol-automation,.claude/skill-library-archive/integrations/owl-protocol-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pacsomatic,.claude/skills/pacsomatic,.claude/skill-library-archive/integrations/pacsomatic,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
page-cro,.claude/skills/page-cro,.claude/skill-library-archive/unreviewed/page-cro,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
page-x-automation,.claude/skills/page-x-automation,.claude/skill-library-archive/integrations/page-x-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
paid-ads-amazon,.claude/skills/paid-ads-amazon,.claude/skill-library-archive/dropshipping/paid-ads-amazon,archivada,Dominio ecommerce/dropshipping fuera del alcance del Trading MVP.
paid-ads-chatgpt,.claude/skills/paid-ads-chatgpt,.claude/skill-library-archive/marketing/paid-ads-chatgpt,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-creative,.claude/skills/paid-ads-creative,.claude/skill-library-archive/marketing/paid-ads-creative,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-guide,.claude/skills/paid-ads-guide,.claude/skill-library-archive/marketing/paid-ads-guide,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-integrations,.claude/skills/paid-ads-integrations,.claude/skill-library-archive/marketing/paid-ads-integrations,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-launch,.claude/skills/paid-ads-launch,.claude/skill-library-archive/marketing/paid-ads-launch,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-linkedin,.claude/skills/paid-ads-linkedin,.claude/skill-library-archive/marketing/paid-ads-linkedin,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-optimize,.claude/skills/paid-ads-optimize,.claude/skill-library-archive/marketing/paid-ads-optimize,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-review,.claude/skills/paid-ads-review,.claude/skill-library-archive/marketing/paid-ads-review,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-setup,.claude/skills/paid-ads-setup,.claude/skill-library-archive/marketing/paid-ads-setup,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-tiktok,.claude/skills/paid-ads-tiktok,.claude/skill-library-archive/marketing/paid-ads-tiktok,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads-x,.claude/skills/paid-ads-x,.claude/skill-library-archive/marketing/paid-ads-x,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
paid-ads,.claude/skills/paid-ads,.claude/skill-library-archive/marketing/paid-ads,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
pandadoc-automation,.claude/skills/pandadoc-automation,.claude/skill-library-archive/integrations/pandadoc-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
paper-lookup,.claude/skills/paper-lookup,.claude/skill-library-archive/integrations/paper-lookup,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
paperclip,.claude/skills/paperclip,.claude/skill-library-archive/integrations/paperclip,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
paperzilla,.claude/skills/paperzilla,.claude/skill-library-archive/integrations/paperzilla,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
paradym-automation,.claude/skills/paradym-automation,.claude/skill-library-archive/integrations/paradym-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parallel-automation,.claude/skills/parallel-automation,.claude/skill-library-archive/integrations/parallel-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parallel-debugging,.claude/skills/parallel-debugging,.claude/skill-library-archive/integrations/parallel-debugging,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parallel-feature-development,.claude/skills/parallel-feature-development,.claude/skill-library-archive/integrations/parallel-feature-development,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parallel-web,.claude/skills/parallel-web,.claude/skill-library-archive/integrations/parallel-web,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parma-automation,.claude/skills/parma-automation,.claude/skill-library-archive/integrations/parma-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parsehub-automation,.claude/skills/parsehub-automation,.claude/skill-library-archive/integrations/parsehub-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parsera-automation,.claude/skills/parsera-automation,.claude/skill-library-archive/integrations/parsera-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
parseur-automation,.claude/skills/parseur-automation,.claude/skill-library-archive/integrations/parseur-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
partnerships-architect,.claude/skills/partnerships-architect,.claude/skill-library-archive/unreviewed/partnerships-architect,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
passcreator-automation,.claude/skills/passcreator-automation,.claude/skill-library-archive/integrations/passcreator-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
passslot-automation,.claude/skills/passslot-automation,.claude/skill-library-archive/integrations/passslot-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
patent,.claude/skills/patent,.claude/skill-library-archive/unreviewed/patent,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
pathml,.claude/skills/pathml,.claude/skill-library-archive/integrations/pathml,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pathogen-variant-surveillance,.claude/skills/pathogen-variant-surveillance,.claude/skill-library-archive/integrations/pathogen-variant-surveillance,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pathway-enrichment,.claude/skills/pathway-enrichment,.claude/skill-library-archive/integrations/pathway-enrichment,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
payhip-automation,.claude/skills/payhip-automation,.claude/skill-library-archive/integrations/payhip-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
paypal-integration,.claude/skills/paypal-integration,.claude/skill-library-archive/integrations/paypal-integration,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
paywall-upgrade-cro,.claude/skills/paywall-upgrade-cro,.claude/skill-library-archive/unreviewed/paywall-upgrade-cro,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
pci-compliance,.claude/skills/pci-compliance,.claude/skill-library-archive/integrations/pci-compliance,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pdf-api-io-automation,.claude/skills/pdf-api-io-automation,.claude/skill-library-archive/integrations/pdf-api-io-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pdf-co-automation,.claude/skills/pdf-co-automation,.claude/skill-library-archive/integrations/pdf-co-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pdf,.claude/skills/pdf,.claude/skill-library-archive/integrations/pdf,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pdf4me-automation,.claude/skills/pdf4me-automation,.claude/skill-library-archive/integrations/pdf4me-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pdfless-automation,.claude/skills/pdfless-automation,.claude/skill-library-archive/integrations/pdfless-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pdfmonkey-automation,.claude/skills/pdfmonkey-automation,.claude/skill-library-archive/integrations/pdfmonkey-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
peer-review,.claude/skills/peer-review,.claude/skill-library-archive/integrations/peer-review,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pennylane,.claude/skills/pennylane,.claude/skill-library-archive/integrations/pennylane,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
peopledatalabs-automation,.claude/skills/peopledatalabs-automation,.claude/skill-library-archive/integrations/peopledatalabs-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
performance-optimization,.claude/skills/performance-optimization,.claude/skill-library-archive/integrations/performance-optimization,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
performance-profiler,.claude/skills/performance-profiler,.claude/skill-library-archive/unreviewed/performance-profiler,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
perigon-automation,.claude/skills/perigon-automation,.claude/skill-library-archive/integrations/perigon-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
perplexityai-automation,.claude/skills/perplexityai-automation,.claude/skill-library-archive/integrations/perplexityai-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
persistiq-automation,.claude/skills/persistiq-automation,.claude/skill-library-archive/integrations/persistiq-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
persona,.claude/skills/persona,.claude/skill-library-archive/unreviewed/persona,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
pexels-automation,.claude/skills/pexels-automation,.claude/skill-library-archive/integrations/pexels-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
phantombuster-automation,.claude/skills/phantombuster-automation,.claude/skill-library-archive/integrations/phantombuster-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
phylogenetics,.claude/skills/phylogenetics,.claude/skill-library-archive/integrations/phylogenetics,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pi-agent,.claude/skills/pi-agent,.claude/skill-library-archive/integrations/pi-agent,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
piggy-automation,.claude/skills/piggy-automation,.claude/skill-library-archive/integrations/piggy-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
piloterr-automation,.claude/skills/piloterr-automation,.claude/skill-library-archive/integrations/piloterr-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pilvio-automation,.claude/skills/pilvio-automation,.claude/skill-library-archive/integrations/pilvio-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pingdom-automation,.claude/skills/pingdom-automation,.claude/skill-library-archive/integrations/pingdom-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pipeline-crm-automation,.claude/skills/pipeline-crm-automation,.claude/skill-library-archive/marketing/pipeline-crm-automation,archivada,Skill de marketing/ventas/publicidad fuera del alcance del MVP técnico de trading.
pipeline,.claude/skills/pipeline,.claude/skill-library-archive/unreviewed/pipeline,unreviewed,Skill incompleta/superficial o puntero externo no autosuficiente; requiere revisión manual.
pitch-packager,.claude/skills/pitch-packager,.claude/skill-library-archive/integrations/pitch-packager,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
pkpd-modeling,.claude/skills/pkpd-modeling,.claude/skill-library-archive/integrations/pkpd-modeling,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
placekey-automation,.claude/skills/placekey-automation,.claude/skill-library-archive/integrations/placekey-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
placid-automation,.claude/skills/placid-automation,.claude/skill-library-archive/integrations/placid-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
plain-automation,.claude/skills/plain-automation,.claude/skill-library-archive/integrations/plain-automation,archivada,Skill de integración externa/no prioritaria para construcción del Trading MVP.
